AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
-9978,3940,1562,-180,-201,-2134,9886,-16372,-32768,-4844,3799,-4544,-10,-592,10264,1674,-178,-4143,5.08,396,2012,1.5
-10898,3506,1288,-95,436,-1933,13830,-10194,-32768,-102,7210,-3900,-1116,-218,9420,1595,-166,-3917,5.06,391,1980,1.5
-11002,3208,626,231,-56,-1862,12322,-3964,-28990,-1464,9512,-4030,-2890,954,8362,1063,190,-3037,5.07,381,1934,1.5
-10866,2392,58,1336,-566,-1052,9136,-6532,-22478,-2386,13289,-4225,-2854,2642,7770,465,337,-2128,5.06,318,1609,1.6
-8594,2372,-200,2714,-444,-148,3554,-7510,-13900,-882,11559,-6993,-278,3764,8298,137,374,-1148,5.06,323,1633,1.6
-7650,2354,14,3212,-480,68,1026,-4468,-9956,995,15673,-5864,1068,1924,8242,41,486,-834,5.05,362,1828,1.6
-6802,3098,988,3462,-82,266,-2918,-1434,-5620,4501,18004,-4972,1192,-504,8962,-155,240,-1179,5.08,440,2236,1.7
-6882,3552,1572,3264,348,499,-6506,362,-3758,4661,18071,-5452,948,-994,8262,-249,62,-1487,5.06,318,1609,1.7
-6700,4166,1936,2847,291,538,-7026,1658,-2630,3556,18031,-5338,930,-582,7888,-254,-53,-1698,5.08,298,1515,1.7
-6538,4432,1678,1185,100,658,-9864,7344,4176,884,11456,-2423,496,-46,6944,-79,-309,-1973,5.06,323,1633,1.8
-6566,4016,1182,187,135,688,-7512,10544,8398,-1747,8802,-1751,292,472,6988,62,-340,-1881,5.07,367,1860,1.8
-7004,2902,450,-728,232,755,-6160,10222,15714,-4143,8642,1045,182,1512,6684,315,-466,-1525,5.07,415,2108,1.8
-7270,2666,160,-883,284,792,-7744,7164,19898,-2112,3110,2455,-186,1756,5712,395,-464,-1124,5.05,323,1630,1.9
-7036,2500,352,-831,141,786,-7438,7726,22210,-1337,-1839,3631,-704,1778,4760,432,-438,-601,5.05,406,2050,1.9
-6516,2420,646,-383,-183,657,-9792,10862,13918,-2489,-7192,5673,-1400,1550,4860,458,-364,512,5.09,464,2365,2.0
-6436,2444,752,-131,-200,552,-10058,11630,8968,-5384,-12243,5083,-920,960,6158,447,-225,712,5.04,435,2194,2.0
-6606,2558,818,-20,11,451,-10582,6876,4562,-8474,-16045,3932,8,252,7866,462,-127,553,5.05,371,1877,2.0
-7408,3004,830,-255,380,171,-9246,-3298,448,-8016,-19023,3398,74,-538,8650,484,78,179,5.05,308,1556,2.0
-7866,3156,802,-465,443,29,-8896,-6468,-1326,-3990,-19854,3963,-756,712,8500,376,188,256,5.08,357,1814,2.1
-8426,3456,756,-878,371,-284,-6260,-6186,-9492,10255,-19179,7896,-1562,3090,8434,31,288,1314,5.06,318,1609,2.1
-8770,3634,642,-1204,428,-336,-9612,-3326,-18506,14273,-16813,11359,-1816,3524,8206,-281,297,2234,5.07,459,2331,2.1
-8986,3488,1170,-1617,506,-437,-10750,-3966,-30830,5475,-11266,13947,-2200,3984,8856,-418,74,2999,5.06,518,2623,2.2
-9194,2698,3362,-1830,598,-414,-9908,-19120,-32768,-13018,-623,3763,-406,1018,9632,229,-1259,2326,5.08,435,2211,2.2
-9564,2092,3766,-1918,685,-507,1050,-27270,-32768,-5253,-1869,-1572,262,-426,9446,712,-1934,1694,5.05,430,2174,2.3
-9568,2064,3012,-2180,750,-539,-804,-15218,-26524,1229,-2667,-7733,-492,-1204,8316,883,-1818,1328,5.07,352,1785,2.3
-8352,2572,1190,-2893,536,-164,6324,720,-7294,5190,869,-375,-2382,-306,6086,-96,-1095,2400,5.06,430,2178,2.3
-7230,2632,718,-3104,275,283,3356,5146,-5238,-23,-1214,-1957,-1894,588,4600,-874,-719,3455,5.05,381,1927,2.4
-6184,2062,524,-3058,323,739,2920,1622,-1760,-3228,-4988,-4756,-1302,1434,4774,-1553,-507,4686,5.04,538,2712,2.4
-5142,1484,332,-3250,827,902,2372,-1346,-1530,1284,-7138,-5712,-948,2124,5550,-1998,-115,6059,5.05,323,1630,2.4
-5590,1504,356,-2793,1059,556,2090,-1150,-2608,4820,-7605,-3288,-536,2160,6972,-1737,-45,6139,5.06,308,1559,2.5
-6532,2334,360,-2491,1837,63,996,40,-4052,6753,-8610,-1895,-432,1238,7682,-1243,8,5931,5.08,455,2310,2.5
-8384,4566,284,-2306,1675,-1303,328,-1554,-6890,9664,-10890,2270,-1364,-1006,8004,-590,107,5349,5.07,411,2083,2.5
-8508,6766,-84,-3240,1236,-1985,306,-876,-8954,9781,-11507,2571,-1644,-2060,7836,-576,212,5290,5.05,508,2569,2.6
-7858,7826,-540,-6463,504,-2614,-1720,-1462,-8570,6494,-12524,947,-1114,-1030,7768,-706,148,5650,5.06,362,1831,2.6
-7156,7222,-1198,-8201,717,-2512,-1700,-3158,-7818,6817,-14511,2511,-962,-86,7408,-669,34,5747,5.08,420,2137,2.7
-6992,5902,-1784,-9207,1012,-2161,-2172,-2000,-7618,7389,-12069,3204,-1210,326,7032,-584,-57,5825,5.08,279,1416,2.7
-7602,4148,-2218,-8416,1283,-1047,-5678,-878,-11042,4041,-10617,3160,-1590,106,6960,-464,-183,6018,5.07,415,2108,2.7
-7940,3700,-2320,-7332,1083,-404,-6958,-2578,-11328,-2212,-10790,903,-1692,-10,6942,-406,-260,6219,5.08,499,2534,2.8
-8244,4064,-2180,-6244,916,368,-7698,-4442,-10238,-6954,-10162,-1346,-1582,-424,7240,-342,-351,6420,5.08,313,1590,2.8
-8304,5028,-1626,-5425,719,1042,-7362,-5770,-9370,-7489,-8977,-2185,-1774,-872,7214,-305,-367,6585,5.05,415,2100,2.8
-8330,6476,-1708,-5612,1017,2097,-6842,-3254,-8718,-4805,-7861,-1953,-2004,-1282,7224,-360,-288,6747,5.06,362,1831,2.9
-8452,6648,-1656,-5848,1133,2574,-6654,-1638,-9068,-4887,-7946,-2323,-1664,-1270,7314,-400,-269,6834,5.04,508,2564,2.9
-8494,6714,-1870,-6076,1228,2945,-6104,-1568,-9598,-5670,-7979,-2774,-1440,-1188,7618,-392,-273,6933,5.04,474,2391,2.9
-8556,6856,-2904,-7017,1391,3192,-6342,-3302,-9466,-4949,-8180,-3020,-1642,-1174,7452,-254,-264,6986,5.09,445,2265,3.0
-8576,7682,-2994,-7583,1180,3335,-6208,-3654,-9420,-3314,-7572,-1330,-1820,-1282,6844,-140,-189,6935,5.05,259,1309,3.0
-8290,8030,-3240,-8154,1108,3581,-6434,-2276,-9598,-3375,-7202,-484,-1942,-1588,6884,-47,-133,6849,5.08,455,2310,3.0
-7742,7598,-3242,-7817,1102,4060,-5948,-1918,-8870,-3856,-7048,-731,-1706,-1988,7414,-2,-92,6852,5.06,513,2599,3.1
-8026,8462,-3520,-6541,1436,5395,-6324,-1536,-7568,-5043,-6656,-535,-750,-2160,8282,-38,-286,6848,5.06,352,1782,3.1
-8312,9580,-4020,-6061,1942,6346,-6986,-1472,-7362,-5579,-6585,-347,-342,-2186,7872,-51,-423,6678,5.08,269,1366,3.1
-8750,10172,-3902,-5738,2005,6986,-7204,-780,-7392,-6302,-6240,37,-732,-2138,7118,-54,-426,6421,5.08,259,1317,3.2
-9892,11446,-3418,-5337,1656,8579,-7306,-762,-7020,-8591,-6520,-948,-1044,-2346,6402,-92,-354,6018,5.05,308,1556,3.2
-10106,12334,-3410,-4816,1759,9821,-6622,-1184,-6384,-9035,-6199,-663,-888,-2468,5882,-157,-274,5905,5.08,269,1366,3.2
-10460,13540,-3834,-4372,2257,11257,-6184,-1654,-6222,-9675,-4137,-1193,-928,-2516,5758,-238,-110,5798,5.07,293,1488,3.2
-11424,14970,-2774,-3947,1917,13023,-5854,-1836,-7042,-9707,-2302,-2436,-882,-2536,7142,-387,93,5623,5.07,386,1959,3.3
-11678,16068,-1956,-3552,1565,14363,-6332,-1828,-7476,-9374,-1824,-2698,-662,-1670,8242,-397,217,5418,5.06,367,1856,3.3
-10870,16988,-1582,-3303,2113,15300,-7220,-1580,-7622,-8916,-1916,-3046,-332,-334,9384,-240,199,5147,5.06,259,1312,3.3
-10958,16348,-2086,-2428,2039,16368,-7930,-2074,-7630,-8300,-2101,-3142,166,274,8980,-74,77,4920,5.05,479,2421,3.4
-8930,14446,-396,-817,526,17803,-6868,-2538,-7542,-7020,-2176,-2564,-1376,-326,6214,-20,106,4753,5.06,327,1658,3.4
-7300,14274,220,-852,741,18338,-5608,-2734,-7060,-6885,-2327,-2596,-1640,-678,5926,-51,239,4782,5.05,381,1927,3.4
-7106,12526,144,-1351,506,18529,-5072,-2502,-6264,-6439,-2566,-2552,-1378,-762,5952,-117,314,4837,5.05,523,2643,3.5
-6184,9988,-944,23,-607,19371,-4648,-1688,-5316,-6149,-2583,-2628,-494,116,6618,-288,410,4761,5.09,455,2315,3.5
-5946,8426,-1434,399,89,19700,-5186,-1762,-5310,-5808,-2469,-2805,-224,752,7518,-257,401,4558,5.07,293,1488,3.6
-5818,6804,-1286,112,-90,19299,-5692,-1912,-5480,-5253,-2306,-2697,64,1244,8640,-125,283,4315,5.07,293,1488,3.6
-3754,3438,-696,440,648,18592,-6648,-2244,-5950,-3755,-1266,-2041,-154,1310,8984,136,103,4051,5.06,342,1732,3.6
-2976,3812,-1276,160,1303,17885,-7012,-2034,-6182,-3289,-761,-1743,-372,992,8726,212,10,3950,5.08,391,1988,3.7
-3060,2634,-1128,-611,1020,16685,-7286,-1742,-6336,-3210,-493,-1649,-594,820,8220,268,23,3835,5.08,450,2286,3.7
-1950,288,-602,-1242,-435,14158,-7284,-1742,-6042,-3399,-435,-1746,-326,856,8078,295,-129,3617,5.05,298,1507,3.7
-1140,-514,-96,-976,-357,12909,-7156,-1622,-5530,-3381,-540,-1870,-398,940,8292,297,-173,3566,5.06,293,1485,3.7
-178,-1736,-236,-400,-589,11256,-6932,-1300,-5346,-3238,-741,-1796,-586,1088,7774,329,-184,3588,5.05,323,1630,3.8
764,-3182,-666,2192,-1697,9172,-7144,-1080,-4986,-3113,-1127,-1862,-536,1258,7802,383,-308,3599,5.08,464,2360,3.8
942,-3776,-1486,2984,-809,7417,-6916,-1090,-4984,-2952,-1218,-1838,-872,1016,7220,376,-272,3571,5.07,430,2182,3.9
1026,-5230,-1474,4491,-359,5338,-6982,-1158,-4874,-2895,-1352,-1933,-1052,796,6848,299,-350,3575,5.08,474,2410,3.9
588,-5660,-1938,6932,-422,1558,-6990,-1188,-4662,-2725,-1161,-1576,-862,356,6230,83,-369,3688,5.06,332,1683,3.9
-572,-5882,-2046,8311,-755,-336,-6724,-1106,-4472,-2396,-707,-1237,-874,330,6270,-30,-347,3700,5.06,362,1831,4.0
-1210,-5140,-1894,9258,-1098,-2565,-6680,-926,-4246,-2110,-485,-1044,-764,126,6342,-111,-334,3652,5.06,342,1732,4.0
-1998,-4456,-2196,9339,-1484,-6049,-6366,-732,-3834,-1912,23,-838,-150,-170,6030,-220,-457,3496,5.08,474,2410,4.0
-2634,-4260,-2970,9205,-1561,-8135,-6186,-614,-3622,-1942,331,-719,46,-324,5714,-320,-502,3414,5.05,518,2618,4.1
-2810,-3432,-3184,9086,-1669,-10013,-5998,-506,-3762,-2284,279,-880,-64,-620,5442,-444,-450,3310,5.09,459,2340,4.1
-3670,-1232,-2392,8606,-1939,-12604,-5734,-734,-3394,-2794,136,-1038,-356,-784,4722,-664,-174,3124,5.07,352,1785,4.2
-3306,630,-2844,7778,-1795,-14055,-5884,-842,-3438,-2922,33,-1112,-726,-496,5204,-760,97,3027,5.08,244,1242,4.2
-2988,2316,-3094,5914,-1097,-15516,-6454,-1000,-3488,-3056,-155,-1074,-646,398,6400,-828,276,2958,5.06,396,2005,4.2
-2116,3878,-1476,1830,1671,-18296,-7456,-1678,-4010,-3332,-470,-1076,-816,1774,7814,-674,647,3055,5.07,415,2108,4.2
-2740,3968,-76,642,3396,-19386,-7578,-2208,-4224,-3367,-697,-1078,-1668,824,7346,-464,876,3121,5.04,523,2638,4.3
-4084,6076,82,1973,4257,-20302,-7252,-2688,-4276,-3172,-944,-971,-1760,114,7636,-252,1255,3044,5.07,386,1959,4.3
-8790,20760,-768,9449,6732,-16971,-7572,-2554,-4398,-2237,-1283,-429,166,-2276,9140,-83,1581,2617,5.08,415,2112,4.4
-14986,32767,1408,13128,5745,-11695,-8382,-1898,-4568,-2063,-1341,-174,128,-3238,11718,-375,1240,3063,5.06,499,2524,4.4
-12432,32767,-1596,6622,4470,-5629,-9534,-2002,-4650,-2475,-1462,-349,660,-2734,12522,-879,333,3409,5.06,318,1609,4.4
1354,32767,2302,-377,1186,3407,-10176,-2566,-4986,-3111,-1512,-539,854,-520,8794,-1007,-589,2789,5.09,479,2439,4.5
8698,32767,1262,-332,-381,7619,-9374,-2646,-4982,-3270,-1465,-555,-2,-986,8828,-701,-421,1875,5.07,518,2628,4.5
8772,29524,2202,-103,573,10003,-8452,-2466,-4806,-3144,-1744,-177,-38,-2096,8210,-302,-38,859,5.09,332,1693,4.5
5700,23466,5094,-944,663,13713,-7190,-2564,-4186,-2406,-1649,-181,-288,-2942,7688,-195,116,69,5.05,396,2001,4.6
4032,19624,5468,-2518,445,15511,-6764,-2564,-4276,-2214,-1322,-160,-1004,-1764,7740,-389,214,143,5.06,298,1510,4.6
1280,14332,5232,-4151,346,16883,-6568,-3020,-4414,-2070,-1201,-187,-1898,-22,8164,-424,384,412,5.09,313,1593,4.6
-528,5502,3220,-5624,131,17556,-6178,-3114,-4744,-1802,-1570,-130,-2132,1338,7080,-51,736,938,5.08,318,1615,4.7
-2152,3304,2432,-5992,-319,17510,-6306,-4356,-4582,-1473,-1424,-292,-1330,952,6748,122,761,1174,5.09,269,1369,4.7
-5264,1584,1362,-5761,-1192,17066,-5746,-3394,-4640,-797,-1027,278,-680,246,6158,177,779,1192,5.07,357,1810,4.7
-7690,-2648,-1218,-5498,-1840,15713,-5392,-2440,-4558,-295,-946,227,-820,76,6676,104,628,1064,5.08,269,1366,4.8
-7388,-8258,-2798,-4141,-1847,13862,-5098,-2152,-4540,-258,-838,144,-866,364,6852,148,654,1125,5.07,420,2132,4.8
-6256,-12646,-2938,-2211,-1906,11727,-4978,-2144,-4484,-362,-730,120,-554,614,6564,246,587,1171,5.05,479,2421,4.8
-4098,-16994,-6164,566,-1657,6439,-5098,-1832,-4574,-974,-620,-112,-278,142,6364,434,522,1034,5.08,508,2584,4.9
-3126,-19706,-7960,2137,-1123,2192,-4968,-2288,-4664,-1366,-556,-275,-446,-428,5254,432,594,823,5.04,357,1800,4.9
-4186,-21428,-8404,4223,-63,-3110,-4670,-3120,-4762,-1403,-498,-437,-166,-1306,4682,291,529,524,5.10,420,2145,4.9
-7910,-16904,-5706,5277,1274,-11762,-4864,-3830,-5066,-1246,-307,-575,-292,-1796,5068,-109,698,10,5.08,508,2584,5.0
-9790,-14518,-3616,3918,2092,-15974,-5042,-3828,-5540,-880,-220,-891,-312,-1840,5728,-198,742,-228,5.04,435,2194,5.0
